# ID RA DEC Hb_z Hb_flux Hb_flux_err Hb_cont Hb_sigmaV OIII_flux OIII_flux_err OIII_cont Ha_z Ha_flux Ha_flux_err Ha_cont Ha_sigmaV NII_flux NII_flux_err NII_cont SII_flux SII_flux_err SII_cont
5409 214.8681252 52.8388596 1.69948 62.283 7.209 1.522 118.908 82.944 7.491 1.389 1.69932 235.187 12.321 1.699 118.915 42.229 8.047 1.73 16.216 3.597 1.771
5413 215.0723474 52.9891068 1.73446 12.52 -1.0 0.994 126.052 3.22 -1.0 1.004 1.74149 84.725 4.226 0.518 125.729 10.545 2.161 0.517 16.143 3.121 0.474
5430 214.9713251 52.9320531 1.67677 233.314 21.994 5.566 120.702 218.069 32.451 5.132 1.67694 789.716 68.647 2.583 120.694 302.835 53.618 3.02 232.246 51.825 3.803
5582 215.0355582 52.9466806 2.18534 189.522 39.616 1.542 144.497 630.741 46.763 1.613 2.1853 765.571 26.671 2.17 144.499 31.285 -1.0 2.125 199.447 36.616 1.701
5632 215.0625372 52.994959 2.5314 149.044 5.132 0.94 168.208 812.86 5.201 0.864 2.53132 543.039 3.208 0.478 168.212 38.644 2.893 0.478 49.754 3.927 0.454
6265 215.1375882 53.0031231 -9.0 -9.0 -9.0 -9.0 -9.0 29.831 -1.0 1.788 1.90214 239.756 24.975 0.0 106.803 22.287 -1.0 -0.457 152.508 29.597 1.168
6540 215.1252465 53.0048165 1.57724 1854.248 61.253 12.8 133.682 3892.375 62.91 12.841 1.57724 8115.071 71.085 10.886 108.411 1163.164 65.73 10.803 1518.197 82.684 9.996
6563 214.9401821 52.8360254 1.69987 177.575 9.421 4.244 128.027 271.275 9.43 4.231 1.70006 849.641 12.202 3.066 128.018 194.158 12.295 3.038 190.707 11.206 2.833
6649 215.21636 53.0237355 1.68635 215.806 10.006 5.995 110.012 313.157 9.604 6.003 1.6863 1350.062 13.996 4.883 110.014 320.924 13.958 5.011 259.71 16.908 4.946
6689 214.9377543 52.8264538 1.4611 0.4 -1.0 11.751 128.024 40.799 11.283 11.388 1.46142 292.681 15.295 10.67 128.007 231.301 14.471 10.68 34.813 8.978 10.458
7975 215.1300978 52.9538268 2.74263 102.877 6.797 1.304 155.156 372.686 6.584 1.164 2.74244 396.31 5.091 0.725 155.164 66.508 4.873 0.709 70.502 5.236 0.669
8041 214.9680391 52.8429609 1.63076 247.972 -1.0 2.035 251.596 332.664 55.15 1.919 1.62698 897.324 51.217 1.025 251.958 71.996 -1.0 1.073 443.12 29.636 1.399
8110 215.0486679 52.9034212 1.56729 190.099 16.099 4.022 130.262 320.36 15.992 3.938 1.56691 683.503 19.56 1.842 130.281 102.034 15.864 1.865 66.099 14.017 2.097
8299 215.1519541 52.9927709 2.15748 58.693 9.194 1.243 171.711 201.783 9.419 1.116 2.15754 343.156 3.559 1.094 171.708 97.217 3.494 1.055 81.531 4.493 0.986
8515 215.0595679 52.9434344 1.56826 166.021 17.151 3.37 99.888 268.376 13.218 3.558 1.56806 589.431 15.337 1.764 99.896 89.248 13.125 1.775 79.746 14.638 1.696
8588 214.9111703 52.8430445 2.33705 51.396 8.705 0.743 161.505 65.513 9.703 0.785 2.33682 204.247 3.782 0.71 161.516 92.856 3.911 0.711 56.946 6.047 0.674
