# ID RA DEC Hb_z Hb_flux Hb_flux_err Hb_cont Hb_sigmaV OIII_5007_flux OIII_5007_flux_err OIII_5007_cont Ha_z Ha_flux Ha_flux_err Ha_cont Ha_sigmaV NII_6583_flux NII_6583_flux_err NII_6583_cont SII_flux SII_flux_err SII_cont SIII_9531_z SIII_9531_flux SIII_9531_flux_err SIII_9531_cont SIII_9531_sigmaV CI_9850_flux CI_9850_flux_err CI_9850_cont HeI_10830_z HeI_10830_flux HeI_10830_flux_err HeI_10830_cont HeI_10830_sigmaV PaG_flux PaG_flux_err PaG_cont PII_1188_flux PII_1188_flux_err PII_1188_cont FeII_1257_flux FeII_1257_flux_err FeII_1257_cont PaB_z PaB_flux PaB_flux_err PaB_cont PaB_sigmaV FeII_164_flux FeII_164_flux_err FeII_164_cont PaA_z PaA_flux PaA_flux_err PaA_cont PaA_sigmaV
8736 214.8855555 52.8350433 1.55506 44.329 3.739 1.719 99.919 138.735 4.073 1.624 1.55463 155.542 4.656 1.114 99.935 18.245 3.09 1.109 28.684 3.94 1.114 1.55481 30.013 2.161 0.569 107.491 2.179 -1.0 0.587 1.55489 12.993 3.03 0.505 99.925 12.848 -1.0 0.514 1.618 -1.0 0.439 2.413 0.802 0.39 1.55498 8.872 1.448 0.402 99.922 1.924 -1.0 0.269 1.55436 23.424 3.044 0.169 96.889
8971 215.1552459 53.0488005 1.5741 159.108 5.843 2.678 113.728 539.542 6.329 2.673 1.57402 685.757 6.387 1.809 113.731 66.433 7.073 1.805 106.733 6.955 1.761 1.57413 110.972 4.501 1.077 122.11 2.4 -1.0 0.991 1.5741 73.27 4.085 0.927 113.728 22.999 0.441 0.928 2.608 -1.0 0.778 8.139 2.093 0.765 1.57385 51.902 2.143 0.749 113.739 3.449 -1.0 0.565 1.57378 150.974 5.392 0.363 116.3
9025 214.891632 52.8656302 1.65152 24.136 -1.0 1.251 194.967 6.214 -1.0 1.191 1.64553 35.136 8.256 1.087 195.409 21.516 6.284 1.069 18.552 7.114 1.192 1.64729 4.877 -1.0 0.762 175.799 15.055 4.038 0.751 1.64549 17.662 4.717 0.72 195.412 12.509 2.503 0.712 14.205 2.439 0.632 0.0 0.0 0.627 -9.0 -9.0 -9.0 -9.0 -9.0 4.214 1.606 0.483 1.64386 59.989 6.671 0.345 170.516
9052 215.0741135 52.9965476 1.87213 42.088 7.033 0.701 120.744 155.057 7.216 0.632 1.87245 3.15 -1.0 0.301 120.731 3.158 -1.0 0.299 2.173 -1.0 0.305 1.8716 16.235 3.65 0.172 103.666 6.705 -1.0 0.171 1.87144 23.531 2.674 0.137 120.773 13.144 -1.0 0.135 4.774 1.165 0.117 4.985 1.972 0.121 1.87186 6.903 2.235 0.139 120.756 7.377 3.293 0.079 -9.0 -9.0 -9.0 -9.0 -9.0
9156 214.9829516 52.9357996 2.05446 159.954 14.767 1.622 130.599 585.758 14.329 1.718 2.0542 623.002 10.721 1.171 130.61 61.889 9.298 1.113 140.427 11.808 1.033 2.05449 123.654 13.279 0.827 105.6 10.034 -1.0 0.769 2.0542 69.277 4.183 0.517 130.61 27.016 0.239 0.481 5.412 -1.0 0.464 6.392 -1.0 0.415 2.05459 46.874 4.932 0.404 130.593 7.201 -1.0 0.438 -9.0 -9.0 -9.0 -9.0 -9.0
9211 215.1741079 53.0734897 1.632 185.502 5.728 1.399 107.59 894.296 5.889 1.418 1.63215 629.871 9.407 0.82 107.584 29.745 5.921 0.772 90.915 8.897 0.611 1.63217 106.596 4.187 0.375 108.202 3.553 -1.0 0.285 1.63212 64.422 4.726 0.159 107.586 18.237 5.589 0.223 2.325 -1.0 0.202 13.429 2.559 0.248 1.63174 32.353 2.512 0.207 107.601 12.816 4.768 0.093 1.63223 95.822 5.097 0.163 105.866
9238 215.0777875 53.0065121 1.74226 70.073 7.087 0.769 113.18 238.476 8.005 0.764 1.74217 336.966 6.24 0.683 113.184 48.297 6.025 0.671 78.592 8.556 0.536 1.74217 83.826 5.789 0.467 106.905 6.751 -1.0 0.365 1.7422 55.567 6.05 0.352 113.183 19.17 2.512 0.378 6.366 1.421 0.391 7.995 2.974 0.405 1.74228 41.595 3.128 0.391 113.18 13.496 5.477 0.304 1.74222 141.833 11.804 0.236 93.314
9413 215.0612039 53.0035121 1.39062 47.716 9.528 2.04 120.518 110.429 6.681 2.013 1.39021 180.238 8.835 1.062 120.539 29.712 12.807 1.057 11.068 3.36 1.047 1.39002 33.302 2.287 0.506 141.074 8.311 1.791 0.465 1.38941 5.771 2.796 0.373 120.58 15.224 -1.0 0.408 29.857 6.886 0.26 3.802 -1.0 0.346 1.3907 8.122 1.502 0.353 120.514 5.629 1.23 0.275 1.39009 26.633 1.763 0.18 112.215
11088 214.9342063 52.8263678 3.30299 147.839 8.07 0.347 136.654 880.955 8.126 0.331 3.30307 636.843 3.869 0.214 136.651 56.836 3.67 0.227 65.063 3.707 0.233 3.30323 134.442 2.967 0.151 156.276 2.168 -1.0 0.122 3.3034 139.446 2.905 0.135 136.641 34.855 0.026 0.128 8.751 4.376 0.128 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0
11580 214.9571398 52.8723687 3.22898 8.447 2.444 0.113 117.245 35.931 1.948 0.113 3.22855 25.748 2.192 0.08 117.257 2.203 -1.0 0.076 2.386 -1.0 0.059 3.23038 3.717 1.559 0.026 142.196 1.505 -1.0 0.022 3.22996 8.296 2.188 0.027 117.218 10.668 -1.0 0.026 2.704 -1.0 0.024 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0
11699 214.8977231 52.8361155 3.30223 49.186 22.604 0.0 108.803 238.354 26.988 0.146 3.30269 168.116 3.003 0.144 108.792 12.675 2.945 0.14 2.096 -1.0 0.13 3.3026 28.995 2.661 0.096 133.794 2.882 -1.0 0.072 3.30278 23.085 2.082 0.07 108.789 10.412 -1.0 0.064 2.03 0.668 0.088 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0
11903 215.1619465 53.0337479 3.10962 8.365 1.421 0.043 107.995 29.085 1.9 -0.029 3.10875 42.189 3.368 0.112 108.018 6.244 2.585 0.108 3.852 -1.0 0.137 3.10848 18.837 3.354 0.116 133.026 3.788 -1.0 0.078 3.11012 19.777 4.772 0.085 107.982 22.168 -1.0 0.087 6.241 -1.0 0.095 8.691 -1.0 0.081 3.10867 35.456 -1.0 0.128 108.02 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0
12286 214.9907912 52.9350279 2.95618 21.742 3.743 0.071 105.698 150.71 3.61 0.016 2.95615 92.901 3.974 0.0 105.698 3.856 -1.0 -0.036 21.604 5.059 -0.072 2.95601 15.196 2.913 0.006 130.703 3.948 -1.0 0.052 2.95638 13.299 2.606 0.017 105.692 7.468 1.665 0.025 8.687 4.052 0.01 9.236 2.138 0.047 2.95483 8.916 2.449 0.019 105.734 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0
12308 214.9743451 52.9246084 3.44558 5.012 -1.0 0.2 128.813 1.291 -1.0 0.186 3.45747 357.421 4.379 0.067 128.47 14.166 3.935 0.065 39.845 6.013 0.078 3.45776 48.466 2.184 0.108 152.865 2.32 -1.0 0.084 3.45767 63.271 3.365 0.071 128.464 13.262 0.784 0.06 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0
12507 214.9868591 52.9446488 3.32181 39.021 3.091 0.109 110.214 256.965 3.147 0.079 3.32193 144.25 2.873 0.036 110.211 7.37 2.362 0.038 9.542 2.584 0.049 3.32246 14.113 1.768 0.04 119.569 3.834 0.792 0.048 3.3221 22.121 2.478 0.044 110.207 7.172 2.251 0.049 4.246 -1.0 0.061 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0
13980 215.2256288 53.028867 3.34831 68.978 8.181 0.1 118.43 240.736 8.892 0.109 3.34827 293.281 10.878 0.022 118.431 -9.0 -9.0 -9.0 40.31 9.68 0.013 3.34873 12.077 3.774 0.102 93.422 30.71 6.855 -0.077 3.348 45.971 11.493 0.016 118.439 57.656 -1.0 0.057 8.717 -1.0 -0.244 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0
16406 215.0325153 52.8975107 2.77199 10.586 2.388 0.0 125.938 104.823 2.369 0.019 2.77168 52.779 1.773 0.0 125.948 0.97 0.311 -0.031 7.792 1.428 -0.021 2.77162 8.654 0.911 0.015 150.95 2.047 0.445 0.013 2.77157 4.449 0.969 0.012 125.952 3.1 0.439 0.013 2.423 0.73 0.01 4.278 -1.0 0.019 2.77174 3.908 1.556 0.023 125.946 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0
16551 215.1268573 52.9680831 2.57264 89.838 11.397 0.118 121.121 419.888 7.445 0.167 2.57242 204.428 4.633 0.12 121.129 4.064 0.84 0.118 32.828 7.069 0.135 2.5725 12.937 1.543 0.038 121.036 1.563 -1.0 0.033 2.57314 14.239 1.862 0.027 121.104 5.358 1.852 0.026 2.074 -1.0 0.006 2.538 -1.0 0.032 2.57183 10.044 1.778 0.026 121.149 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0
16991 214.9414977 52.8505574 2.54117 63.43 4.675 0.244 137.197 627.571 4.529 0.301 2.54103 299.194 2.153 0.148 137.203 15.008 2.584 0.15 26.036 2.375 0.153 2.54083 40.512 2.027 0.089 162.212 2.906 0.699 0.079 2.54113 44.16 3.454 0.097 137.199 9.297 3.061 0.093 -9.0 -9.0 -9.0 9.462 -1.0 0.02 2.53985 33.815 2.648 0.051 137.248 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0
17056 215.0956225 52.9617521 2.73664 19.51 2.504 0.073 125.331 146.946 2.751 0.12 2.73626 134.663 4.837 0.117 125.344 5.114 -1.0 0.115 7.117 6.297 0.155 2.73626 34.534 4.506 0.055 150.344 5.652 -1.0 0.059 2.73623 20.105 5.511 0.02 125.345 19.922 1.943 0.035 15.156 -1.0 -0.068 14.175 -1.0 0.022 2.73519 40.807 11.753 0.022 125.38 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0
17186 215.1428364 52.9981411 2.11471 65.636 -1.0 0.681 186.102 72.92 14.749 0.916 2.11466 76.366 6.199 0.314 186.104 18.251 5.972 0.323 10.028 3.127 0.349 2.11298 19.884 7.578 0.182 161.192 6.946 -1.0 0.26 2.11362 29.777 4.379 0.294 186.167 16.762 1.524 0.284 7.356 -1.0 0.243 7.588 -1.0 0.282 2.11362 11.209 5.004 0.231 186.167 9.553 -1.0 0.238 -9.0 -9.0 -9.0 -9.0 -9.0
17264 215.2223431 53.0568435 2.02239 50.503 4.732 0.26 100.02 303.637 5.043 0.309 2.0219 0.001 0.0 0.113 100.036 0.001 0.0 0.111 0.034 -1.0 0.101 2.02251 22.629 3.885 0.082 100.016 3.624 -1.0 0.119 2.02248 0.001 0.0 0.038 100.017 0.001 0.001 0.036 1.19 -1.0 0.042 2.342 -1.0 0.055 2.02201 12.036 2.055 0.099 100.033 21.251 5.877 0.026 -9.0 -9.0 -9.0 -9.0 -9.0
17425 214.986914 52.8953471 2.40409 54.328 -1.0 0.0 152.481 45.477 5.293 0.067 2.40429 29.569 2.667 0.018 152.472 4.466 0.997 0.01 6.789 1.508 0.011 2.40373 1.62 -1.0 0.051 127.493 21.543 -1.0 0.599 2.4038 5.209 1.612 0.063 152.494 9.656 -1.0 0.078 2.752 -1.0 0.062 3.152 -1.0 -0.002 2.40543 5.374 2.687 0.021 152.421 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0
17463 215.1358658 53.0018255 2.30336 23.312 6.2 0.125 128.913 133.766 6.281 0.127 2.30326 129.866 4.596 0.076 128.917 9.689 3.882 0.099 9.332 2.668 0.103 2.30311 3.355 -1.0 0.075 103.922 2.866 -1.0 0.036 2.30302 7.447 2.024 0.065 128.927 10.56 -1.0 0.072 2.38 -1.0 0.023 3.479 -1.0 0.027 2.30215 14.196 -1.0 0.041 128.96 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0
17496 214.9902697 52.8995161 2.37423 46.651 4.549 0.257 139.325 213.206 4.345 0.21 2.37409 121.84 2.727 0.063 139.331 7.606 2.191 0.061 26.236 3.323 0.066 2.37455 18.352 2.048 0.098 135.757 6.369 -1.0 0.098 2.375 16.962 1.454 0.063 139.294 7.075 0.261 0.059 9.3 2.484 0.056 4.35 1.169 0.056 2.37452 12.102 2.496 0.05 139.313 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0
18294 214.988628 52.9229215 2.63665 44.956 5.841 0.532 129.911 172.557 5.703 0.534 2.63674 211.954 3.477 0.418 129.908 21.134 4.167 0.417 33.872 5.214 0.408 2.63678 35.135 1.712 0.224 121.858 1.394 -1.0 0.21 2.63702 31.778 2.589 0.183 129.898 13.612 -1.0 0.17 3.371 -1.0 0.165 4.007 -1.0 0.189 2.63698 17.627 3.002 0.189 129.899 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0
19179 215.0497743 52.9919114 2.71438 37.468 9.519 0.62 145.665 80.551 8.863 0.616 2.71423 186.106 7.801 0.487 145.671 31.261 8.962 0.483 54.865 9.877 0.466 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 2.71391 25.388 4.838 0.217 145.683 12.123 2.668 0.187 5.424 -1.0 0.097 12.316 5.459 0.148 2.71334 24.383 5.751 0.161 145.706 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0
23542 215.1484165 52.9551591 1.27842 652.439 37.968 8.732 128.643 1545.734 35.388 8.598 1.27821 2982.561 36.267 6.0 128.655 480.884 32.883 6.116 619.558 51.527 5.94 1.27839 503.146 19.14 2.33 147.653 36.183 9.832 2.464 1.27819 222.773 16.735 2.142 128.657 120.9 0.705 1.901 34.235 8.309 1.827 27.415 -1.0 1.87 1.2781 247.906 22.719 2.122 128.661 58.497 14.923 1.91 1.27806 780.52 20.083 1.57 134.4
26594 215.1211346 52.9843726 1.40751 57.497 4.631 0.948 103.504 151.181 5.175 1.116 1.40761 128.71 9.257 1.033 103.5 10.021 3.332 1.032 16.814 3.31 0.895 -9.0 -9.0 -9.0 -9.0 -9.0 3.395 -1.0 -0.056 1.40715 11.381 2.834 0.098 103.519 12.272 -1.0 0.093 23.099 3.86 0.139 26.216 3.516 0.189 1.40681 7.891 3.332 0.144 103.534 5.697 1.263 0.065 1.40694 23.551 3.431 0.072 128.535
26836 214.9074844 52.8366454 2.01086 63.429 9.886 0.086 127.545 465.982 9.386 0.175 2.01094 163.175 5.112 0.161 127.542 5.395 -1.0 0.158 4.483 1.648 0.132 2.01061 13.831 3.423 0.121 102.553 3.448 -1.0 0.033 2.0112 18.769 2.754 0.033 127.531 14.28 -1.0 0.01 3.118 -1.0 0.083 4.747 -1.0 0.028 2.0106 7.419 3.623 0.006 127.556 9.201 -1.0 0.022 -9.0 -9.0 -9.0 -9.0 -9.0
27063 215.2167235 53.0578549 1.59506 10.771 3.761 0.762 117.9 58.443 4.689 0.753 1.59482 70.488 5.945 0.381 117.911 11.867 3.727 0.361 6.518 1.646 0.282 1.59507 6.148 2.208 0.191 110.44 1.624 -1.0 0.211 1.59548 2.486 -1.0 0.173 117.881 -9.0 -9.0 -9.0 1.709 -1.0 0.186 3.493 -1.0 0.116 1.59569 8.492 3.297 0.0 117.872 2.774 -1.0 0.064 1.59447 6.514 1.416 0.078 142.93
27182 215.0494545 52.9419542 2.48971 35.612 2.391 0.1 141.802 168.098 2.784 0.045 2.48958 98.223 1.016 0.05 141.807 4.579 0.854 0.052 13.453 1.211 0.053 2.48957 17.06 0.929 0.057 166.808 0.894 -1.0 0.049 2.48969 12.666 0.544 0.049 141.803 3.281 0.039 0.046 1.268 -1.0 0.042 1.509 0.629 0.039 2.48934 5.705 0.71 0.035 141.817 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0
28886 214.9091161 52.8657833 1.67519 17.272 -1.0 0.551 89.793 39.37 4.49 0.561 1.6749 48.599 7.613 0.292 89.803 6.891 -1.0 0.291 26.599 6.196 0.165 1.67499 3.827 1.112 0.179 67.974 9.324 2.523 0.119 1.67579 2.666 -1.0 0.107 89.773 10.776 -1.0 0.111 3.49 0.779 0.126 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 4.984 -1.0 0.075 1.67482 10.666 4.535 0.066 64.805
29756 215.0664836 52.9886209 1.24048 9.943 4.503 0.579 102.884 34.302 3.037 0.633 1.24047 42.353 5.656 0.444 102.885 6.638 1.844 0.443 4.151 1.853 0.377 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 1.23981 2.642 -1.0 0.151 102.915 5.482 1.249 0.122 1.823 -1.0 0.097 5.48 1.212 0.092 1.24122 14.576 -1.0 0.086 102.851 0.824 -1.0 0.05 1.24049 9.3 2.618 0.063 78.077
29775 214.9734594 52.9224645 1.06057 20.964 4.663 2.527 100.069 79.191 4.562 2.597 1.05375 0.0 0.0 2.238 100.402 0.0 0.0 2.233 -9.0 -9.0 -9.0 1.06062 30.67 3.454 1.241 100.067 3.01 -1.0 1.195 1.06089 1.358 -1.0 1.185 100.054 5.488 -1.0 1.175 5.539 -1.0 1.104 6.985 3.358 0.965 1.06064 20.319 3.713 1.021 100.066 2.946 -1.0 0.937 -9.0 -9.0 -9.0 -9.0 -9.0
30715 215.0250634 52.9719759 1.89684 25.84 -1.0 0.093 123.914 31.491 3.269 0.08 1.89658 16.148 1.964 0.055 123.925 2.088 -1.0 0.052 2.03 -1.0 0.058 1.89465 2.602 0.715 0.03 124.008 1.975 -1.0 0.029 1.89755 2.055 0.898 0.03 123.884 3.434 0.477 0.027 1.458 -1.0 0.025 1.504 -1.0 0.025 1.8969 3.664 1.309 0.015 123.912 1.18 -1.0 0.0 -9.0 -9.0 -9.0 -9.0 -9.0
31075 215.0435549 52.9899173 1.28379 70.301 3.794 0.213 106.357 329.672 3.803 0.231 1.28368 229.195 5.112 0.378 106.362 3.857 1.121 0.34 18.605 5.296 0.207 -9.0 -9.0 -9.0 -9.0 -9.0 6.82 1.705 0.285 1.28368 35.88 1.967 -0.054 106.362 9.304 -1.0 0.0 2.525 -1.0 -0.071 2.263 -1.0 -0.008 1.2835 9.036 2.054 0.0 106.37 -9.0 -9.0 -9.0 1.28325 19.011 2.353 -0.036 106.382
36119 214.9309198 52.8257515 1.91238 25.903 6.412 0.791 119.124 141.076 11.602 0.657 1.91251 76.679 7.283 0.0 119.119 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 1.91445 12.37 -1.0 0.063 119.034 11.228 -1.0 0.021 1.91348 9.797 -1.0 0.003 119.079 39.596 -1.0 0.009 19.595 7.801 -0.016 26.18 10.489 0.051 1.9127 52.316 -1.0 0.008 119.111 26.068 -1.0 -0.255 -9.0 -9.0 -9.0 -9.0 -9.0
37597 215.0821113 52.9986764 1.41671 33.682 2.321 0.0 94.461 118.601 2.45 -0.006 1.41695 97.328 3.587 0.0 94.452 3.319 -1.0 -0.054 10.865 2.94 0.025 1.41714 1.039 -1.0 -0.005 69.446 3.357 1.128 -0.022 1.41708 13.66 1.353 -0.043 94.447 3.679 1.514 0.0 1.188 -1.0 -0.029 1.793 -1.0 -0.032 1.4172 5.454 1.529 0.0 94.442 1.001 -1.0 -0.022 1.41722 9.45 1.518 -0.02 91.664
39481 214.9940615 53.0016763 1.63351 12.026 1.105 0.156 96.089 51.714 1.191 0.124 1.63335 31.937 2.039 0.107 96.095 1.806 0.579 0.106 4.24 1.043 0.091 1.6343 19.537 7.018 -0.074 115.995 4.947 -1.0 -0.234 1.63346 25.082 7.537 -0.229 96.091 31.752 -1.0 0.0 5.862 -1.0 -0.195 0.503 -1.0 0.004 1.63386 2.86 0.494 0.0 96.077 0.513 -1.0 0.004 1.63275 6.412 1.578 0.012 87.467
40380 215.2186493 53.0329311 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 0.95779 57.136 5.267 0.452 127.576 5.549 -1.0 0.44 25.541 6.845 0.477 0.9591 6.248 1.928 0.139 152.475 4.018 -1.0 0.172 0.95714 6.929 1.42 -0.017 127.619 10.373 2.642 0.0 2.981 -1.0 0.023 3.06 -1.0 0.083 0.95714 3.137 1.032 0.108 127.619 1.949 -1.0 0.113 0.95731 6.649 1.586 0.046 104.258
