# ID RA DEC Hb_z Hb_flux Hb_flux_err Hb_cont Hb_sigmaV OIII_5007_flux OIII_5007_flux_err OIII_5007_cont Ha_z Ha_flux Ha_flux_err Ha_cont Ha_sigmaV NII_6583_flux NII_6583_flux_err NII_6583_cont SII_flux SII_flux_err SII_cont SIII_9531_z SIII_9531_flux SIII_9531_flux_err SIII_9531_cont SIII_9531_sigmaV CI_9850_flux CI_9850_flux_err CI_9850_cont HeI_10830_z HeI_10830_flux HeI_10830_flux_err HeI_10830_cont HeI_10830_sigmaV PaG_flux PaG_flux_err PaG_cont PII_1188_flux PII_1188_flux_err PII_1188_cont FeII_1257_flux FeII_1257_flux_err FeII_1257_cont PaB_z PaB_flux PaB_flux_err PaB_cont PaB_sigmaV FeII_164_flux FeII_164_flux_err FeII_164_cont PaA_z PaA_flux PaA_flux_err PaA_cont PaA_sigmaV
3187 214.8928069 52.8593413 1.49025 14.608 3.148 0.724 103.374 55.108 2.678 0.691 1.49027 44.202 5.252 0.301 103.373 4.915 -1.0 0.32 4.54 1.886 0.368 1.49193 1.6 -1.0 0.122 128.288 1.586 -1.0 0.159 1.48944 2.901 0.93 0.125 103.408 4.7 2.26 0.125 4.778 1.878 0.088 1.348 -1.0 0.094 1.49108 1.821 0.465 0.097 103.34 1.55 -1.0 0.083 1.49157 1.982 -1.0 0.048 78.332
3223 215.0727739 53.0118751 2.28746 17.164 5.108 0.084 135.322 70.515 13.039 0.252 2.28697 44.705 3.913 0.072 135.342 6.403 2.565 0.07 4.606 -1.0 0.097 2.28775 10.413 1.823 0.049 130.262 1.608 -1.0 0.056 2.28675 4.122 1.031 0.049 135.351 5.516 -1.0 0.045 1.454 -1.0 0.032 1.584 -1.0 0.018 2.28594 2.617 1.144 0.029 135.384 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0
3476 215.045403 52.8945741 1.742 109.466 40.968 13.198 260.553 97.655 -1.0 12.969 1.74375 113.697 34.664 12.495 260.387 89.886 -1.0 12.487 85.107 -1.0 13.007 1.74192 68.611 -1.0 12.354 260.598 73.758 -1.0 11.554 1.74466 59.639 -1.0 13.938 260.3 240.964 -1.0 14.025 52.567 -1.0 13.279 57.989 -1.0 13.156 1.74283 236.608 -1.0 12.629 260.474 857.831 -1.0 10.885 1.74558 69.0 -1.0 8.987 260.237
3501 215.0461715 52.9128179 2.61279 32.48 4.732 0.0 113.87 115.996 5.261 -0.06 2.61251 94.848 3.677 0.0 113.878 3.702 -1.0 -0.054 7.031 2.817 -0.079 2.61275 1.606 0.359 0.019 88.872 1.555 0.324 0.006 2.61224 4.967 0.992 0.005 113.887 3.36 -1.0 0.008 -9.0 -9.0 -9.0 1.68 -1.0 0.012 2.61275 5.36 1.362 0.016 113.871 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0
3506 215.1562782 53.0598994 2.05645 584.225 9.158 0.0 104.097 4035.819 9.406 0.211 2.05644 1869.112 4.397 0.173 134.815 4.746 -1.0 0.211 12.107 2.987 0.323 2.05661 44.253 3.934 0.162 109.809 2.3 -1.0 0.137 2.05641 585.522 2.326 0.137 159.352 78.579 0.001 0.134 1.142 -1.0 0.079 4.514 1.318 0.077 2.05622 119.202 1.171 0.081 109.346 11.067 3.144 0.058 -9.0 -9.0 -9.0 -9.0 -9.0
3535 215.0501247 52.9419605 2.4897 82.534 5.595 0.235 141.699 391.383 6.506 0.105 2.48958 234.411 2.581 0.125 141.704 10.602 2.124 0.125 34.862 2.809 0.127 2.48956 41.03 2.155 0.137 166.705 2.03 -1.0 0.117 2.4897 30.699 1.259 0.115 141.699 7.835 0.081 0.107 2.938 -1.0 0.099 3.597 1.432 0.093 2.48934 13.24 1.619 0.086 141.714 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0
3537 215.1436274 53.0048024 2.1629 110.836 5.569 0.103 129.907 349.543 5.517 0.174 2.16275 300.796 1.97 0.06 129.913 2.142 -1.0 0.06 4.97 1.92 0.019 2.1631 1.581 -1.0 0.012 104.901 1.733 -1.0 0.004 2.16284 92.147 1.145 0.025 129.909 10.905 0.017 0.022 1.051 -1.0 0.021 1.635 -1.0 0.011 2.16259 23.787 1.252 0.022 129.92 3.246 0.978 -0.046 -9.0 -9.0 -9.0 -9.0 -9.0
3706 215.1326704 52.9768079 2.03742 9.533 4.317 0.642 225.752 7.322 -1.0 0.622 2.03378 125.886 4.378 0.881 226.024 74.286 4.206 0.904 41.071 5.947 0.987 2.03402 29.842 4.686 1.037 251.003 11.637 2.575 1.14 2.03281 24.661 2.165 0.935 226.095 4.533 1.566 0.921 7.658 2.011 1.015 10.299 2.739 1.018 2.03372 26.576 2.884 1.041 226.028 6.515 -1.0 1.061 -9.0 -9.0 -9.0 -9.0 -9.0
3788 214.8907857 52.8686992 2.29607 384.805 13.999 1.16 165.146 2482.129 13.515 0.831 2.29586 1229.231 6.167 0.554 165.157 71.769 5.933 0.544 101.464 14.962 0.456 2.29587 186.977 7.51 0.246 140.157 -9.0 -9.0 -9.0 2.29603 259.748 3.821 0.294 165.149 56.162 0.02 0.297 11.463 4.478 0.291 26.402 8.55 0.242 2.29592 107.895 5.373 0.267 165.154 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0
3838 214.8984667 52.8616676 1.92272 73.941 27.025 1.713 163.258 135.29 23.488 2.312 1.92283 293.077 9.322 1.243 163.252 61.862 10.535 1.242 102.628 10.642 1.314 1.92247 60.296 10.987 0.996 168.667 32.293 10.485 0.83 1.92186 12.354 2.914 0.768 163.306 40.192 -1.0 0.722 9.09 1.894 0.581 1.499 -1.0 0.581 1.9238 6.116 -1.0 0.563 163.198 38.222 7.832 0.426 -9.0 -9.0 -9.0 -9.0 -9.0
